@s.inf.shizuoka.ac.jp,@s.inf.shizuoka.ac.jp
@s.inf.shizuoka.ac.jp,＠めるあど
アルゴリズムとデータ構造,AD
AVL木,AVLき
B*木,B*き
BM法,BMほう
B木,Bき
CPU,CPU
C言語,Cげんご
決定性有限オートマトン,DFA
Linux,Linux
非決定性有限オートマトン,NFA
